Date,Volume,Adj Close
02/01/2008,6214600,272.34
03/01/2008,5965700,272.44
04/01/2008,7545400,265.94
07/01/2008,6891800,266.13
08/01/2008,9998900,255.58
09/01/2008,10781000,258.88
10/01/2008,10559500,264.71
11/01/2008,8894600,268.95
14/01/2008,9431500,273.66
15/01/2008,22078200,253.7
16/01/2008,19821400,247.1
17/01/2008,23219400,235.05
18/01/2008,19718700,230.25
22/01/2008,21079600,229.78
23/01/2008,18963400,248.23
24/01/2008,13578500,257.37
25/01/2008,11031600,250.87
28/01/2008,8367200,260.38
29/01/2008,8165400,262.83
30/01/2008,13495700,262.55
31/01/2008,13862000,268.36
01/02/2008,12037600,282.84
04/02/2008,8475900,278.36
05/02/2008,10920200,257.69
06/02/2008,7369500,256.45
07/02/2008,10720300,254.36
08/02/2008,8185800,247.97
11/02/2008,7130400,245.88
12/02/2008,8506500,249.69
13/02/2008,10378800,250.93
14/02/2008,6563000,245.21
15/02/2008,8737600,242.73
19/02/2008,6995500,241.21
20/02/2008,7415600,242.83
21/02/2008,7836500,238.64
22/02/2008,8675300,239.3
25/02/2008,12003200,235.68
26/02/2008,10763900,237.68
27/02/2008,8775700,245.02
28/02/2008,6221600,238.26
29/02/2008,10000400,225.87
03/03/2008,10214300,219.97
04/03/2008,18768100,210.53
05/03/2008,11233400,211.01
06/03/2008,8697200,201.67
07/03/2008,10073700,199.2
10/03/2008,11678500,187.58
11/03/2008,13736600,204.72
12/03/2008,12005700,202.06
13/03/2008,13799000,200.72
14/03/2008,16764200,188.43
17/03/2008,18154600,177.38
18/03/2008,15244300,197.29
19/03/2008,13711600,194.43
20/03/2008,18090600,214.34
24/03/2008,12883500,221.68
25/03/2008,9192600,223.11
26/03/2008,12323100,210.06
27/03/2008,10665300,207.58
28/03/2008,8504300,198.44
31/03/2008,8964100,204.06
01/04/2008,13529100,227.11
02/04/2008,15337300,228.83
03/04/2008,7650600,232.06
04/04/2008,7337000,229.4
07/04/2008,8925000,234.35
08/04/2008,7866900,226.35
09/04/2008,8466100,224.63
10/04/2008,7752800,225.87
11/04/2008,6947500,222.54
14/04/2008,7969200,214.44
15/04/2008,5511900,217.2
16/04/2008,7262300,223.3
